report_date,department,patient_count,avg_age,severity_distribution
2024-01-01,Cardiology,9,37.4,"{'Mild': 5, 'Moderate': 2, 'Severe': 2}"
2024-01-01,Neurology,28,41.7,"{'Mild': 16, 'Moderate': 8, 'Severe': 4}"
2024-01-01,Pediatrics,10,43.7,"{'Mild': 7, 'Moderate': 1, 'Severe': 2}"
2024-01-01,Orthopedics,49,43.8,"{'Mild': 24, 'Moderate': 20, 'Severe': 5}"
2024-01-01,Oncology,32,43.9,"{'Mild': 13, 'Moderate': 15, 'Severe': 4}"
2024-01-01,Dermatology,11,56.5,"{'Mild': 4, 'Moderate': 4, 'Severe': 3}"
2024-01-01,Gastroenterology,28,43.9,"{'Mild': 7, 'Moderate': 11, 'Severe': 10}"
2024-01-01,Endocrinology,21,43.3,"{'Mild': 8, 'Moderate': 9, 'Severe': 4}"
2024-01-01,Psychiatry,30,46.5,"{'Mild': 12, 'Moderate': 13, 'Severe': 5}"
2024-01-02,Cardiology,24,43.4,"{'Mild': 15, 'Moderate': 6, 'Severe': 3}"
2024-01-02,Neurology,26,49.4,"{'Mild': 12, 'Moderate': 10, 'Severe': 4}"
2024-01-02,Pediatrics,16,35.0,"{'Mild': 5, 'Moderate': 9, 'Severe': 2}"
2024-01-02,Orthopedics,45,41.8,"{'Mild': 20, 'Moderate': 22, 'Severe': 3}"
2024-01-02,Oncology,48,42.4,"{'Mild': 22, 'Moderate': 21, 'Severe': 5}"
2024-01-02,Dermatology,10,49.8,"{'Mild': 5, 'Moderate': 1, 'Severe': 4}"
2024-01-02,Gastroenterology,5,63.6,"{'Mild': 2, 'Moderate': 1, 'Severe': 2}"
2024-01-02,Endocrinology,39,40.2,"{'Mild': 14, 'Moderate': 16, 'Severe': 9}"
2024-01-02,Psychiatry,11,44.6,"{'Mild': 4, 'Moderate': 5, 'Severe': 2}"
2024-01-03,Cardiology,46,46.2,"{'Mild': 27, 'Moderate': 10, 'Severe': 9}"
2024-01-03,Neurology,14,42.3,"{'Mild': 9, 'Moderate': 5, 'Severe': 0}"
2024-01-03,Pediatrics,11,44.7,"{'Mild': 7, 'Moderate': 2, 'Severe': 2}"
2024-01-03,Orthopedics,26,49.4,"{'Mild': 9, 'Moderate': 14, 'Severe': 3}"
2024-01-03,Oncology,25,41.8,"{'Mild': 11, 'Moderate': 9, 'Severe': 5}"
2024-01-03,Dermatology,11,43.9,"{'Mild': 5, 'Moderate': 4, 'Severe': 2}"
2024-01-03,Gastroenterology,8,31.8,"{'Mild': 1, 'Moderate': 2, 'Severe': 5}"
2024-01-03,Endocrinology,14,47.1,"{'Mild': 7, 'Moderate': 4, 'Severe': 3}"
2024-01-03,Psychiatry,24,39.3,"{'Mild': 12, 'Moderate': 8, 'Severe': 4}"
2024-01-04,Cardiology,22,41.9,"{'Mild': 13, 'Moderate': 5, 'Severe': 4}"
2024-01-04,Neurology,20,53.0,"{'Mild': 9, 'Moderate': 7, 'Severe': 4}"
2024-01-04,Pediatrics,7,52.0,"{'Mild': 4, 'Moderate': 3, 'Severe': 0}"
2024-01-04,Orthopedics,12,50.8,"{'Mild': 5, 'Moderate': 6, 'Severe': 1}"
2024-01-04,Oncology,34,43.8,"{'Mild': 15, 'Moderate': 13, 'Severe': 6}"
2024-01-04,Dermatology,26,48.1,"{'Mild': 12, 'Moderate': 10, 'Severe': 4}"
2024-01-04,Gastroenterology,40,41.8,"{'Mild': 9, 'Moderate': 19, 'Severe': 12}"
2024-01-04,Endocrinology,44,46.8,"{'Mild': 19, 'Moderate': 18, 'Severe': 7}"
2024-01-04,Psychiatry,26,44.0,"{'Mild': 18, 'Moderate': 6, 'Severe': 2}"
2024-01-05,Cardiology,33,38.3,"{'Mild': 18, 'Moderate': 8, 'Severe': 7}"
2024-01-05,Neurology,10,32.2,"{'Mild': 4, 'Moderate': 4, 'Severe': 2}"
2024-01-05,Pediatrics,16,51.9,"{'Mild': 9, 'Moderate': 3, 'Severe': 4}"
2024-01-05,Orthopedics,20,50.6,"{'Mild': 6, 'Moderate': 10, 'Severe': 4}"
2024-01-05,Oncology,33,43.3,"{'Mild': 17, 'Moderate': 10, 'Severe': 6}"
2024-01-05,Dermatology,8,54.6,"{'Mild': 3, 'Moderate': 4, 'Severe': 1}"
2024-01-05,Gastroenterology,22,37.8,"{'Mild': 8, 'Moderate': 9, 'Severe': 5}"
2024-01-05,Endocrinology,43,49.4,"{'Mild': 16, 'Moderate': 19, 'Severe': 8}"
2024-01-05,Psychiatry,10,57.7,"{'Mild': 6, 'Moderate': 2, 'Severe': 2}"
2024-01-06,Cardiology,20,51.3,"{'Mild': 10, 'Moderate': 6, 'Severe': 4}"
2024-01-06,Neurology,39,43.9,"{'Mild': 12, 'Moderate': 21, 'Severe': 6}"
2024-01-06,Pediatrics,14,43.4,"{'Mild': 7, 'Moderate': 3, 'Severe': 4}"
2024-01-06,Orthopedics,10,52.3,"{'Mild': 3, 'Moderate': 6, 'Severe': 1}"
2024-01-06,Oncology,36,40.4,"{'Mild': 15, 'Moderate': 15, 'Severe': 6}"
2024-01-06,Dermatology,18,40.4,"{'Mild': 6, 'Moderate': 6, 'Severe': 6}"
2024-01-06,Gastroenterology,26,32.5,"{'Mild': 7, 'Moderate': 13, 'Severe': 6}"
2024-01-06,Endocrinology,23,48.1,"{'Mild': 6, 'Moderate': 10, 'Severe': 7}"
2024-01-06,Psychiatry,46,48.8,"{'Mild': 23, 'Moderate': 16, 'Severe': 7}"
2024-01-07,Cardiology,14,41.1,"{'Mild': 9, 'Moderate': 3, 'Severe': 2}"
2024-01-07,Neurology,34,55.5,"{'Mild': 19, 'Moderate': 10, 'Severe': 5}"
2024-01-07,Pediatrics,25,37.1,"{'Mild': 14, 'Moderate': 6, 'Severe': 5}"
2024-01-07,Orthopedics,35,41.9,"{'Mild': 12, 'Moderate': 18, 'Severe': 5}"
